NO;SKU;NAME;Finish;Blade Span;Bulb Type;Close to Ceiling Kit;"Control Type	";Energy Star;Collection;Light Kit Included;Location Rating;Motor Size;Motor Type;Number of Blades
1;FP7634;Amped;Black, Black + brushed brass, Brushed nickel, Matte white, Matte white + brushed brass;52;LED;Not compatible;Remote Control;No;Amped;Yes;Dry;172 x 15;AC Motor;3
2;FPS7681;Klinch 44;Black, Brushed nickel, Matte white;44;LED;Not compatible;Remote Control;No;Klinch;Yes;Damp;172 x 17;AC Motor;3
3;FPD5534;Kute5;Black, Brushed nickel, Brushed satin brass, Brushed satin brass + black, Dark bronze, Matte greige, Matte white;52;;Compatible;Remote Control;Yes;Kute;No;Damp;DC100 x 30;DC Motor;5
4;FPD7617;PCDC;Black, Matte white, Silver;52;;;;No;PCDC;No;Wet;DC100 x 30;DC Motor;3
5;MAD6721;"Spitfire DC 64
";Black, Brushed nickel, Brushed satin brass, Dark bronze, Driftwood, Galvanized, Matte greige, Matte white;64;LED;Compatible;Remote Control;No;Spitfire;No;Damp;DC153-25FS;DC Motor;3
6;FP9044;Edgewood;Black, Brushed nickel, Dark bronze, Matte white;44;;Dual Mount;;No;Edgewood;No;Wet;153 x 18;AC Motor;5
7;FP3075;Influencer;Black, Brushed satin brass, Chrome;12;LED;Not compatible;Remote Control;No;Kerring;Yes;Dry;79.5 x 64;AC Motor;3
8;FP3073;Kerring;Brushed satin brass, Chrome;14;LED;Not compatible;Remote Control;No;Kerring;Yes;Dry;79.5 x 64;AC Motor;3
9;FP3070;Klout;Brushed satin brass, Chrome;12;LED;Not compatible;Remote Control;No;Klout;Yes;Dry;79.5 x 64;AC Motor;3
10;FPS8553;Kwartet;Black, Brushed nickel, Brushed satin brass, Matte greige, Matte white;52;LED;Not compatible;Remote Control;No;Kwartet;Yes;Damp;153 x 20;AC Motor;4
11;FP3050;Obvi;Black, Brushed nickel;22;LED;Compatible;Remote Control;No;Obvi;Yes;Dry;DC 153×12;DC Motor;3
12;FP8519;Henry;Black;20;LED;Compatible;Remote Control;No;Henry;Yes;Damp;;;
13;FP8404;Gleam;Black, Brushed nickel;16;LED;Compatible;Remote Control;;Gleam;Yes;Damp;82 x 30;AC Motor;4
14;FP7910;Levon AC;Black, Brushed nickel, Brushed nickel + black, Dark bronze, Matte greige, Matte white, Oil-rubbed bronze;63;;Compatible;Pull Chain;No;Levon;No;Dry;188 x 25;AC Motor;8
15;FP8533;Doren;Black, Brushed nickel, Dark bronze, Matte greige, Polished nickel;52;LED;Compatible;Remote Control;No;Doren;Yes;Dry;172 x 20;AC Motor;5
16;FP8094;Camhaven v2;Brushed nickel, Dark bronze, Matte greige, Matte white;52;LED;Compatible;Remote Control;No;Camhaven v2;Yes;Dry;172 x 17;AC Motor;3
17;FP8274;Stafford;Brushed nickel, Dark bronze, Matte greige;52;LED;Compatible;Remote Control;No;Stafford;No;Dry;172 x 17;AC Motor;5
18;FP320;Islander – Dry Finishes;Antique brass, Pewter;48 – 72;;Not compatible;Pull Chain;No;Islander;No;Dry;FK-2100;AC Motor;5
19;FP6272;Junior Breeze;Brushed nickel;;;Not compatible;Other;;Junior Breeze;;Dry;;AC Motor;
20;FP8014;Arden;Oil-rubbed bronze, Satin nickel;12;;Not compatible;Other;No;Arden;No;Dry;82 x 25;AC Motor;